Walk-Forward Test Z12 portfolio

Simulated account   AssetsFix 
Bar period          4 hours (avg 337 min)
Simulation period   29.04.2010-07.06.2016 (9495 bars)
Test period         24.01.2013-07.06.2016 (5223 bars)
Lookback period     500 bars (17 weeks)
WFO test cycles     11 x 475 bars (16 weeks)
Training cycles     12 x 4272 bars (147 weeks)
Monte Carlo cycles  200
Assumed slippage    10.0 sec

Gross win/loss      98168$ / -67140$ (+113376p)
Average profit      9218$/year, 768$/month, 35$/day
Max drawdown        -1703$ 5% (MAE -4011$ 13%)
Total down time     26% (TAE 93%)
Max down time       27 weeks from Jul 2013
Max open margin     1943$
Max open risk       94377$
Trade volume        11608254$ (3448487$/year)
Transaction costs   -2352$ spr, -1954$ slp, -591$ rol, -551$ com
Capital required    3551$

Number of trades    2632 (782/year, 16/week, 4/day)
Percent winning     48.9%
Max win/loss        852$ / -479$
Avg trade profit    12$ 43.1p (+278.5p / -182.5p)
Avg trade slippage  -0.74$ -2.7p (+0.3p / -5.6p)
Avg trade bars      53 (+69 / -35)
Max trade bars      967 (33 weeks)
Time in market      2704%
Max open trades     49
Max loss streak     17 (uncorrelated 12)

Annual return       260%
Profit factor       1.46 (PRR 1.38)
Sharpe ratio        1.79
Kelly criterion     1.23
R2 coefficient      0.784
Ulcer index         3.6%
Prediction error    10%
Cycle performance   1.52 1.39 1.47 1.49 

Confidence level     AR   DDMax  Capital

 10%                306%  1128$  3007$
 20%                298%  1214$  3089$
 30%                293%  1277$  3149$
 40%                287%  1348$  3216$
 50%                278%  1449$  3311$
 60%                273%  1516$  3374$
 70%                265%  1630$  3482$
 80%                253%  1794$  3637$
 90%                237%  2060$  3888$
 95%                230%  2185$  4005$
100%                187%  3176$  4941$

Portfolio analysis  OptF  ProF  Win/Loss  Wgt%  Cycles
UK100:BB            .124  2.08    7/5      1.3  ///\.\..\/.
UK100:BB:L          .124  2.08    7/5      1.3  ///\.\..\/.
UK100:BB:S          .000  ----    0/0      0.0  ...........
UK100:HP            .087  1.60   18/13     4.4  \.\\.\/.//\
UK100:HP:L          .000  ----    0/0      0.0  ...........
UK100:HP:S          .087  1.60   18/13     4.4  \.\\.\/.//\
UK100:HU            .082  1.31   15/23     1.4  \XX/\\/\X/X
UK100:HU:L          .082  1.26    6/9      0.4  \\//\./\\//
UK100:HU:S          .083  1.34    9/14     0.9  \/\/\\/\//\
US30:BB             .183  6.51    5/1      2.0  .//../../..
US30:BB:L           .183  6.51    5/1      2.0  .//../../..
US30:BB:S           .000  ----    0/0      0.0  ...........
US30:HP             .089  1.67   57/37     8.0  .///.\/XX/X
US30:HP:L           .087  1.71   35/21     6.3  .///.\//\//
US30:HP:S           .098  1.56   22/16     1.7  .....\/\//\
USD/CAD:CT          .083  1.07   29/31     0.4  X\X\\/X\/XX
USD/CAD:CT:L        .143  1.58   16/11     0.9  \\/\\//\./\
USD/CAD:CT:S        .000  0.87   13/20    -0.5  /\\\\/\\/\/
USD/CAD:CY          .090  1.13   80/69     1.8  /XXX\XXXXXX
USD/CAD:CY:L        .188  2.02   44/22     3.8  ////\/////\
USD/CAD:CY:S        .000  0.81   36/47    -1.9  /\\\\\\\\\/
USD/CAD:HP          .098  1.35   28/38     2.2  \\\\/\\//\/
USD/CAD:HP:L        .000  ----    0/0      0.0  ...........
USD/CAD:HP:S        .098  1.35   28/38     2.2  \\\\/\\//\/
USD/CAD:HU          .097  1.28   39/36     1.3  //XXXXX/XXX
USD/CAD:HU:L        .110  1.57   20/18     1.3  //\/\/////\
USD/CAD:HU:S        .000  0.98   19/18    -0.0  ///\/\\/\\/
USD/CAD:LP          .200  1.94   12/29     0.8  ///\\\\\./.
USD/CAD:LP:L        .200  1.94   12/29     0.8  ///\\\\\./.
USD/CAD:LP:S        .000  ----    0/0      0.0  ...........
USD/CAD:VO          .207  2.21   52/63     5.7  /\\/\//.///
USD/CAD:VO:L        .207  2.21   52/63     5.7  /\\/\//.///
USD/CAD:VO:S        .000  ----    0/0      0.0  ...........
USD/CHF:A2          .266  1.66   17/11     0.4  /\\/\//./\.
USD/CHF:A2:L        .266  1.66   17/11     0.4  /\\/\//./\.
USD/CHF:A2:S        .000  ----    0/0      0.0  ...........
USD/CHF:VO          .341  1.50   15/22     0.2  ./.\//\\\//
USD/CHF:VO:L        .341  1.50   15/22     0.2  ./.\//\\\//
USD/CHF:VO:S        .000  ----    0/0      0.0  ...........
USD/JPY:A2          .092  1.31   16/13     0.9  XX//./\\/X/
USD/JPY:A2:L        .000  0.99    8/9     -0.0  /\//./\./\/
USD/JPY:A2:S        .182  2.44    8/4      0.9  \/././.\///
USD/JPY:HU          .087  1.12   35/51     0.5  X/X\\XX\XXX
USD/JPY:HU:L        .116  1.34   19/22     0.6  ///\\//\\\\
USD/JPY:HU:S        .000  0.96   16/29    -0.1  \/\\\\\\///
USD/JPY:VO          .179  2.23   34/40     3.8  ///////\\/\
USD/JPY:VO:L        .179  2.23   34/40     3.8  ///////\\/\
USD/JPY:VO:S        .000  ----    0/0      0.0  ...........
XAG/USD:BB          .079  1.28   46/22     2.4  ..///.//.\\
XAG/USD:BB:L        .000  ----    0/0      0.0  ...........
XAG/USD:BB:S        .079  1.28   46/22     2.4  ..///.//.\\
XAG/USD:HU          .084  1.99   20/22     6.8  //////\/\//
XAG/USD:HU:L        .000  ----    0/0      0.0  ...........
XAG/USD:HU:S        .084  1.99   20/22     6.8  //////\/\//
XAU/USD:A2          .105  1.70   16/17     2.3  .\.\\.X/X//
XAU/USD:A2:L        .116  1.79    7/6      0.8  ...\\.//\//
XAU/USD:A2:S        .101  1.65    9/11     1.5  .\.\\.\.//.
XAU/USD:CY          .080  1.13   42/57     1.4  \\X\/X\./\X
XAU/USD:CY:L        .000  0.82   20/33    -1.1  \.\\/\../\/
XAU/USD:CY:S        .099  1.54   22/24     2.5  \\/\//\./.\
XAU/USD:LP          .138  2.20   16/29     2.5  ///\\/\\\\\
XAU/USD:LP:L        .000  ----    0/0      0.0  ...........
XAU/USD:LP:S        .138  2.20   16/29     2.5  ///\\/\\\\\
